location	lat	long
Thirsk, North Yorkshire, England, UK	54.23273000000006	-1.342049999999972
Wigmore Abbey, Wigmore, Herefordshire, England, UK	52.316220000000044	-2.8610799999999585
Manoir du Dur Ecu, Urville-Nacqueville, Manche, France	49.67381000000006	-1.7415699999999674
Castlebay, Barra, Western Isles, Scotland, UK	56.955160000000035	-7.4874999999999545
Leksand, Dalarnas ln, Sweden	60.73157000000003	14.997360000000072
Folsom, Louisiana, USA	30.63082000000003	-90.18789999999996
Guilin Liangjiang International Airport, Liangjiang, Lingui, Guilin, Guangxi, China	32.09142000000003	120.24205000000006
Prado museum, Madrid, Spain	40.414899924404914	-3.6932399682618904
Ste Anne d'Auray, Morbihan, France	47.70383000000004	-2.9540399999999636
Ivdel, Russia	60.69470000000007	60.415950000000066
Midway Village Museum, Rockford, Illinois, USA	42.282380000000046	-88.98386999999997
Manndalen, Kfjord, Troms, Norway	69.52506000000005	20.545880000000068
Maksimir Park, Zagreb, Croatia	45.82959860049503	16.024361955107985
Bad Steben, Bavaria, Germany	50.36654000000004	11.64241000000004
Walsall, West Midlands, England, UK	52.58543000000003	-1.9760299999999802
Clewer Court Road, Windsor, Berkshire, England, UK	51.485136791731975	-0.6247285079346596
Rio Grande, Puerto Rico	18.38178000000005	-65.82829999999996
Randolph Center, Vermont, USA	43.940060000000074	-72.60694999999998
193 Worple Road, Wimbledon, London, England, UK	51.415178817073006	-0.21950103919865158
Il Cielo - 9018 Burton Way, Beverly Hills, California, USA	34.07207000000005	-118.38841999999994
Luc-sur-Mer, Calvados, France	49.32158000000004	-0.3584899999999607
High Desert State Prison - 22010 Cold Creek Road, Indian Springs, Nevada, USA	36.511643370330525	-115.57060520373166
Alpine Meadows Ski Resort, Lake Tahoe, California, USA	39.16485998038105	-120.2385599376777
Harnett County, North Carolina, USA	35.36860153600003	-78.86931136699997
Matheson Hammock Park - 9610 Old Cutler Road, Coral Gables, Florida, USA	25.68197992988754	-80.27296001500362
The Historical Society, Tarrytown, New York, USA	41.07549003664375	-73.85669000779025
240 N Canon Drive, Beverly Hills, California, USA	34.068608047796154	-118.39883251740488
Chambersburg Pennsylvania, USA	39.93743000000006	-77.66074999999995
University of Puget Sound - 1500 N. Warner Street, Tacoma, Washington, USA	47.2642099489296	-122.48110002221696
Olson Entertainment Studios LLC, New Hampton, New Hampshire, USA	42.93548000000004	-70.83959999999996
Samara, Russia	53.191790000000026	50.190900000000056
Buckstone Jump, Rydal, UK	53.40838660500003	-1.9695595439999352
Cefn-Coed-y-Cymmer, Merthyr Tydfil, Merthyr, Wales, UK	51.76386900000001	-3.405863249999999
Mofo Bar, Antwerpen, Belgium	51.22209000000004	4.397680000000037
Mosaic Stadium at Taylor Field - 1910 Piffles Taylor Way, Regina, Saskatchewan, Canada	50.45156002726606	-104.62361000504897
Botanischer Garten, Greifswald, Mecklenburg-Western Pomerania, Germany	54.09269000000006	13.367090000000076
Tolono, Illinois, USA	39.99079000000006	-88.26153999999997
Eric Hamber Secondary School, Vancouver, British Columbia, Canada	49.23930000000007	-123.12373999999994
Kibbutz Beit Nir, Israel	31.647240000000068	34.874790000000075
Genve	46.208330000000046	6.142750000000035
Orbetello, Grosseto, Tuscany, Italy	42.44265000000007	11.22285000000005
1648 Wilcox Ave, Los Angeles, California, USA	34.10117961226845	-118.33100932540837
Southern Pines, North Carolina, USA	35.17440000000005	-79.39148999999998
Kivik, Skne ln, Sweden	55.68333000000007	14.250000000000057
Sambro, Nova Scotia, Canada	44.46685000000008	-63.59869999999995
San Andrs Itzapa, Guatemala	14.620000000000061	-90.84416999999996
Verandah Resort & Spa - Antigua, Guatemala	14.561110000000042	-90.73443999999995
Magnetic Resonance Research Centre, Cambridge University, Cambridge, Cambridgeshire, England, UK	52.20066000000003	0.11672000000004346
Upstate New York City, New York, USA	40.72632001110854	-73.9862600732874
Grnli skole, Porsgrunn, Norway	59.13731752616457	9.656010000000016
Malvern Hills, Great Malvern, Worcestershire, England, UK	52.14925854872921	-2.282313026230048
Fremont County, Colorado, USA	38.47295776100003	-105.43954790899994
Claremont, California, USA	34.096100000000035	-117.71639999999996
Aviation Blvd, Los Angeles, California, USA	33.943688366548486	-118.37892695816761
The Central, Toronto, Ontario, Canada	43.66436001832192	-79.41218994113922
Alentours de Montlimar, Drme, France	44.55560000000003	4.749140000000068
Railway Station Tesnov, New Town, Prague, Czech Republic	50.07913000000008	14.433020000000056
Royal Exchange Theatre, Manchester, England, UK	53.48265007660574	-2.245299998269208
Palenville, New York, USA	42.17497000000003	-74.02166999999997
Greenwich Times, Detroit, Michigan, USA	42.33141996667455	-83.04391991949913
Uithuizen, Netherlands	53.40790000000004	6.677500000000066
Fraga, Huesca, Aragn, Spain	41.522290000000055	0.3439500000000635
Crato, Portalegre, Portugal	39.28994000000006	-7.646579999999972
Irsina, Basilicata, Italy	40.74726000000004	16.24087000000003
650 N La Cienega Blvd, Los Angeles, California, USA	34.08332374854291	-118.37647834315332
Santa Barbara City College, Santa Barbara, California, USA	34.407119979947424	-119.6991599259923
2900 Bedford Ave., Brooklyn, New York, USA	40.6316564948641	-73.95267920457025
Sylvan Terrace, Washington Heights, Manhattan, New York City, New York, USA	40.83470100000001	-73.93937175
Santa Fe Springs, California, USA	33.94647000000003	-118.08379999999994
15 Jebeka Lane, Gloucester, Massachusetts, USA	42.64914527754057	-70.72234457654834
Ballina, New South Wales, Australia	-28.867909999999938	153.5549400000001
Freilichtmuseum Glentleiten, Groweil, Bavaria, Germany	47.66500000000008	11.284930000000031
Muzaffarpur, Bihar, India	26.12399000000005	85.38669000000004
Le Pecq, Yvelines, France	48.897740000000056	2.106990000000053
Zwinger, Dresden, Saxony, Germany	51.053420025535274	13.73468004775227
Solligaten 2, 0254 Oslo, Norway	59.91439130169082	10.720379105199305
16401 Knollwood Drive, Granada Hills, Los Angeles, California, USA	34.29798628893754	-118.49591741176624
Bdarieux, France	43.61549000000008	3.1594400000000746
Schlierschied, Rhineland-Palatinate, Germany	49.87614000000008	7.442000000000064
Dover, New Jersey, USA	40.88545000000005	-74.55864999999994
Hotel Allegro - 171 W. Randolph Street, The Loop, Downtown, Chicago, Illinois, USA	41.88442996277941	-87.63346993003076
Charleston Area Convention Center, North Charleston, South Carolina, USA	32.86619995383529	-80.02162992772304
Liceo Scientifico "B. Croce" - Rome, Lazio, Italy	42.1477055405398	12.479298374834041
Goodrington beach, Paignton, Devon, England, UK	50.424660000000074	-3.560289999999952
Glenorchy, New Zealand	-44.806571531999964	168.4076193410001
Songimvelo Game Reserve, Mpumalanga, South Africa	-25.370229999999935	31.916720000000055
Labadie Market, St. Louis, Missouri, USA	38.63239214320524	-90.23964198794921
Black Jack's Lock, Harefield, London, England, UK	51.584212303474935	-0.12946633673600713
Miramesa, San Diego, California, USA	32.91225000000003	-117.15071999999998
Montral-Pierre Elliott Trudeau International Airport, Dorval, Qubec, Canada	45.456260074007744	-73.74732002134971
1608 Grismer Avenue, Burbank, California, USA	34.19294405245543	-118.32524930650959
Martinsville, Virginia, USA	36.68996000000004	-79.86880999999994
Thornton, Colorado, USA	39.86948000000007	-104.98540999999994
St Ouen's Manor, Beau Port, Jersey, Channel Islands	34.18376000000006	-119.22508999999997
Krkavce, Slovenia	45.464870000000076	13.692700000000059
Lyon, Rhne, Rhne-Alpes, France	46.55941704400004	2.5505399530000545
Brezovica pri Borovnici, Slovenia	45.89821000000006	14.394090000000062
Arubinha, Rio de Janeiro, Brazil	-22.91215999999997	-43.17500999999993
Fort Bonifacio, Taguig City, Metro Manila, Philippines	14.527590753875373	121.07560090412571
Toy and Doll Museum, Suomenlinna, Helsinki, Finland	60.143200000000036	24.98536000000007
Studio 54, Lethbridge, Alberta, Canada	49.69383000000005	-112.83372999999995
TV4:s studio, Kvarnholmen, Nacka, Stockholms ln, Sweden	59.31246996277942	18.126710062179008
Sava Embankment, Zagreb, Croatia	45.807240000000036	15.967570000000023
Uferpromenade, Bad Saarow, Brandenburg, Germany	52.292410000000075	14.063570000000027
Fickeystrae, Train remise, Vienna, Austria	48.202540000000056	16.36880000000002
Andersen's Animal Park, Buellton, California, USA	34.61536137654534	-120.19480157832686
Leah Baird studios, Cliffside, New Jersey, USA	41.231344428291266	-74.51342538794522
Eglise Saint-Cme-et-Saint-Martin, Luzarches, Val-d'Oise, France	49.11220000000003	2.4220500000000698
Art Institute of California, North Hollywood, Calfornia, USA	34.20512166863042	-118.34553147265062
Sturgis, Michigan, USA	41.80025000000006	-85.41868999999997
Azusa, California, USA	34.13361000000003	-117.90588999999994
Rigsombudsmandens bolig, Nuuk, Greenland	64.18347000000006	-51.721569999999986
Pont-du-Chteau, Puy-de-Dme, France	45.79946000000007	3.2478000000000407
119 West 57th Street, Manhattan, New York City, New York, USA	40.76478423203873	-73.97818912516595
Aarau, Kanton Aargau, Switzerland	47.333330000000046	8.166670000000067
Blueberry Hills, Juneau, Alaska, USA	58.28895814171315	-134.4294370668526
Arcinazzo Romano, Frosinone, Lazio, Italy	41.88062000000008	13.113510000000076
Trieste, Free Territory of Trieste	45.65733000000006	13.766730000000052
Kirkelsberg, Netherlands	52.24937529300007	5.616126398000063
Henk Schoorl Zeeviscentre, Halkade 9-15, IJmuiden, Noord-Holland, Netherlands	52.45950000000005	4.5943600000000515
Senator Hotel - 519 Ellis St, San Francisco, California, USA	37.78454763056165	-122.41503954509784
Nuwaraeliya, Sri Lanka	6.971150000000023	80.76697000000007
Middle Creek Garage, Triadelphia, West Virginia, USA	40.03537083466135	-80.60849440623868
Placitas, New Mexico, USA	35.308850000000064	-106.43403999999998
