location	lat	long
Ciudad de Ovalle, Chile	-33.45371062852245	-70.84791041275282
Seattle Center Monorail, Seattle, Washington, USA	47.621280027266046	-122.34879003635338
Vidor Estate, Beverly Hills, California, USA	34.07346000000007	-118.40031999999997
Loreto, Ancona, Marche, Italy	43.439760000000035	13.607260000000053
High Street, Falkland, Cupar, Fife, Scotland, UK	56.25278990307393	-3.209119753856695
Cit de la Glacire, Paris 13, Paris, France	48.83220000000006	2.3561000000000263
Villacoublay, Yvelines, France	48.78234033385845	2.1968071480252425
Taku Smokeries - 550 South Franklin Street, Juneau, Alaska, USA	58.29554809074393	-134.39868504945434
Calasiao, Pangasinan, Philippines	16.01809000000003	120.37840000000006
Esromgade, Nrrebro, Copenhagen, Denmark	55.698323111889245	12.54015109470111
Lilos Bazroba, Tbilisi, Georgia	41.70908000000003	44.79612000000003
Herringfleet Mill, Suffolk, England, UK	52.51989000000003	1.6531100000000265
Emirates Palace, Abu Dhabi, United Arab Emirates	24.461510000000033	54.318160000000034
Harridge's Department Store, Bloor Street, Toronto, Ontario, Canada	43.664199952247806	-79.4153799561429
Thetford, Norfolk, England, UK	52.413290000000075	0.7407200000000671
Sullivan Residence, Rock Point, Love Beach, off West Bay Street, North Shore, New Providence Island, Bahamas	25.080220934438383	-77.36826010652437
"Bugal" Terrassa, Barcelona, Spain	41.56090000000006	2.008600000000058
Lothian Chambers, George IV Bridge, Edinburgh, Scotland, UK	55.94824422691941	-3.191973331950381
North Huntingdon, Pennsylvania, USA	40.17184656587529	-78.14024334320119
Musrara, Jerusalem, Israel	31.78001000000006	35.21882000000005
Duntroon, Australian Capital Territory, Australia	-35.32813006217888	149.1832999922098
Naval Air Station Pensacola, Florida, USA	30.36990000000003	-87.27696999999995
Stough Park, Burbank, California, USA	34.20564000000007	-118.31089999999995
Jadugoda, Bihar, India	25.151460000000043	85.48728000000006
Prohodna Cave, Karlukovo, Lukovit, Bulgaria	43.16910508023235	24.07183049433806
North of Almaty, Kazakhstan	43.25100000000003	76.95589000000007
Mellieha, Malta	35.957170000000076	14.36122000000006
3125 South 52nd St, Tempe, Arizona, USA	33.394446254746654	-111.9708583270245
Forum Music Studio, Los Angeles, California, USA	34.140310000000056	-118.37665999999996
Sainte-Croix, Qubec, Canada	46.633120000000076	-71.64648999999997
Gorges de l'Hrault, Hrault, France	43.68408000000005	3.574860000000058
Gasperina, Calabria, Italy	38.73876000000007	16.509240000000034
Lafayette, Alabama, USA	32.89942000000008	-85.40122999999994
Ulm, Germany	48.397140000000036	9.987870000000044
Bowlin's Flying C Ranch I-40 Exit 234, New Mexico, USA	34.99592000000007	-105.37760999999995
605 Texas Street, San Francisco, California, USA	37.75874490091753	-122.39517543655164
Muscoot Farm, Somers, New York, USA	41.27321881845849	-73.71541391955792
Isla Mgica Theme Park, Seville, Spain	37.40553000057696	-5.998880012839202
Birkenhead Riverview Tavern - 3 Elder Road, Birkenhead, South Australia, Australia	-34.834644	138.5042985
Wonderland Villa, Cannes, France	43.5580785	6.969010500000017
SFB-Studios, West-Berlin, Germany	52.540623	13.340306250000003
Elland, North Yorkshire, England, UK	53.578323	-1.4862352499999814
Parque Municipal "El Hort de Baix", Elche, Alicante, Comunidad Valenciana, Spain	38.27072000000004	-0.6966599999999517
Oberlandstrae, Tempelhof, Berlin, Germany	52.46441020090488	13.413144719546496
Tigh Beg Croft, Oban, Argyll and Bute, Scotland, UK	56.42157491884423	-5.4661330259072365
Lloyd Harbor, Long Island, New York, USA	40.87018997778305	-73.42579996667443
Tokyo Big Sight Open Air Stage, Ariake, Koto, Tokyo, Japan	35.632871065000074	139.79528589300003
James Boag & Sons Brewery - 69 The Esplanade, Launceston, Tasmania, Australia	-41.432443905594816	147.13628303800635
Goulburn Valley, Victoria, Australia	-36.381839999999954	145.4058500000001
Kikungwi, Zanzibar South, Zanzibar, Tanzania	NaN	NaN
Belsize House, London, England, UK	51.54752000000008	-0.16690999999997302
Quartier la Dalle, Bagnolet, Seine-Saint-Denis, France	48.86865000000006	2.4176800000000753
Ceduna Coast, South Australia, Australia	-32.12117999999998	133.67550000000006
Startup, Washington, USA	47.867180000000076	-121.73831999999999
Pig 'n' Whistle - 922 Third Ave., Manhattan, New York City, New York, USA	40.759310069392356	-73.9682500477522
Ivory Coast	7.629182541000034	-5.554728587999932
Zegiestow, Poland	49.365260000000035	20.782850000000053
Muret, Haute-Garonne, France	43.46198000000004	1.3236100000000306
Palace Disco - 518 Main Street, New Rochelle, New York, USA	40.908463524265805	-73.78217688493292
Barco de vila, vila, Castilla y Len, Spain	-5.1908299999999485	-80.60515999999996
Rock Island, Illinois, USA	41.51157000000006	-90.57603999999998
Targu Lapus, Transylvania, Romania	46.50000000000006	25.000000000000057
Kasisali, Lahti, Finland	60.98254000000003	25.66223000000008
Fulmer Plant Park, Cherry Tree Lane, Fulmer, Buckinghamshire, England, UK	51.60108000000008	-0.709389999999928
Occidental, California, USA	38.407110000000046	-122.94752999999997
Joy Eslava, Madrid, Spain	40.41720996335632	-3.7064400183218047
Kent State University, Kent, Ohio, USA	41.14821000000006	-81.34849999999994
1802 South Oxford Ave, Los Angeles, California, USA	34.04110533527613	-118.30762037979704
Delancey Street, Manhattan, New York, USA	40.718934108310705	-73.98921705889775
Jerry's Famous Deli - 12655 Ventura Blvd., Studio City, Los Angeles, California, USA	34.144440069969264	-118.40893996667448
Isfjorden, Norway	62.57798000000008	7.786030000000039
RAF Newton, Nottingham, Nottinghamshire, England, UK	52.970750000000066	-0.9811099999999442
Vila Nova de Mil Fontes, Portugal	37.72735000000006	-8.781939999999963
Cook Islands	-21.234657996999942	-159.77802087599997
Jersey Devil Haunted Woods, Williamstown, New Jersey, USA	39.66106050000001	-74.98200825
