location	lat	long
5651 Cartwright Ave., Los Angeles, California, USA	34.17365582653356	-118.36385615295154
Geghardavanq, Armenia	40.293084855000075	44.94022131100007
Roissy-en-France, Yvelines, France	48.93310661705274	2.03805406579596
Atlantic City New Jersey, USA	39.36287000000004	-74.42636999999996
Amager Bio, Amager, Copenhagen, Denmark	55.658299918922324	12.608810037797626
St Peter's Cemetery, Mahalaxmi, Mumbai, Maharashtra, India	19.055060000000026	72.82979000000006
Wonderboom Airport, Gauteng, South Africa	-25.657069999999976	28.213500000000067
3962 Center St, Piru, California, USA	34.41535648514059	-118.7941005
The Soundhouse Ltd. Recording Studios, London, England, UK	51.50642000000005	-0.1272099999999341
Galerias Galds, Bilbao, Bilbao, Vizcaya, Pas Vasco, Spain	43.26869000000005	-2.9460699999999633
Auberville-la-Manuel, Seine-Maritime, France	49.828310000000045	0.5872900000000527
Nabeul, Tunisia	36.455220000000054	10.727410000000077
Crossing Angel, Smchov, Prague, Czech Republic	50.07230991949925	14.396889963356347
Piazza Vittorio Veneto, Turin, Piedmont, Italy	45.06495716731759	7.694723640470223
Roosevelt University - 430 S. Michigan Avenue, Downtown, Chicago, Illinois, USA	41.87659000000008	-87.62438999999995
Orchard, Colorado, USA	40.329980000000035	-104.11710999999997
Rue Montorgueil, Paris 2, Paris, France	48.86382038320696	2.346470594973762
Stara Kuznica, Swietokrzyskie, Poland	51.21639000000005	20.504090000000076
"Les Arcades", Am Kochbrunnen, Wiesbaden, Hessen, Germany	50.08621000000005	8.241840000000025
Byways Cafe - 1212 NW Glisan Street, Portland, Oregon, USA	45.526479919499224	-122.68367999999998
Jefferson, Ohio, USA	41.738860000000045	-80.76945999999998
Aabyhj, Jylland, Denmark	57.14988002553525	9.809530048329204
Ermita de San Antonio de la Florida, Madrid, Spain	40.425320000000056	-3.7259899999999675
Massapequa, Long Island, New York, USA	40.67518995556606	-73.48015993060763
Bacunayagua Bridge, Cuba	23.143060000000048	-81.67499999999995
Krielstein, Germany	51.04299000000003	13.017080000000021
Chickamauga Battlefield, GA	34.945279925558765	-85.25886005164733
Billingham, England, UK	54.606850000000065	-1.2939899999999511
Lake Superior, Ontario, Canada	NaN	NaN
Aitutaki Island, Rarotonga, Cook Islands	-21.23471999999998	-159.77499999999998
New Jersey Pine Barrens, New Jersey, USA	39.95012000000003	-74.51625999999999
Komiza, Croatia	43.04396000000003	16.08829000000003
Restaurant Barney Greengrass, 541 Amsterdam Avenue, New York City, New York, USA	40.78802993060772	-73.97472995224771
