location	lat	long
Waverly, Nebraska, USA	40.918420000000026	-96.52899999999994
Jinxi, Jiangsu, China	31.17930000000007	120.89330000000007
La Placita Our Lady Queen of Angels - 535 North Main Street, Downtown, Los Angeles, California, USA	34.04327152720448	-118.25235902905602
Cannock Chase Forest, Staffordshire, England, UK	52.72501055452279	-1.989867828662604
Hotel 3 Rue De Castiglione, Paris, 75001, France	48.86569005107048	2.327589970569673
Rijsenhout, Noord-Holland, Netherlands	52.257520000000056	4.714600000000075
Sudbury Hall, Sudbury, Derbyshire, England, UK	52.89058000000006	-1.7677799999999593
Lago de Chapla, Jalisco, Mexico	20.636988782831793	-103.2807374095146
Saharian oasis, Algeria	36.781600000000026	3.0620400000000245
Debwka, Mazowieckie, Poland	51.69210309970067	21.7150681872108
Royal Palace, Madrid, Spain	40.41816993392597	-3.7130200323149345
Osan Air Base, Pyeongtaek-si, Gyeonggi-do, South Korea	37.013720000000035	126.98748000000012
New City Stadium - 1265 Lombardi Ave., Green Bay, Wisconsin, USA	44.50264930486576	-88.06010991615138
Campo de l'Abazia, Venice, Veneto, Italy	45.443975481101155	12.335549307329801
Gabriel's, 11 W 60th Street, New York City, New York, USA	40.76917003664378	-73.98270993060767
16210 Nordhoff St, North Hills, California, USA	34.23560649567218	-118.48552299610486
Caf Abraham, Grardmer, Vosges, France	48.06911000000008	6.87184000000002
Burglengenfeld, Bavaria, Germany	49.20899000000003	12.039760000000058
Edge, Texas, USA	30.885690000000068	-96.29855999999995
West Washington Market Building, West and Lowe Avenues, New York City, New York, USA	NaN	NaN
Le Olympia, Paris, France	48.84692006217902	2.373739923394403
Davis County Civil War Reenactment, Bloomfield, Iowa, USA	40.75013000000007	-92.41364999999996
The Coppid Beech Hotel, Bracknell, Berkshire, England, UK	51.41543000000007	-0.7898299999999381
Poti, Georgia	42.15149000000008	41.66966000000008
Kaweczyn, Lubelskie, Poland	51.144810000000064	22.757930000000044
Clay Twp, Michigan, USA	42.623890000000074	-82.58614999999998
Bhuiyan Poli Clinick, Dhaka, Bangladesh	23.738440000000026	90.37245000000007
Humlebk Havn, Denmark	55.959300779000046	10.053934054000024
Skopje, Bitola, Macedonia	41.033070000000066	21.314770000000067
ile des Naturistes at Villennes-sur-Seine, Yvelines, France	48.93861000000004	1.998700000000042
Borj Nord, Fez, Fs-Boulemane, Morocco	33.1883775	-4.5536130000000075
The Westin Awaji Island Resort & Conference Center, Awaji, Hyogo, Japan	34.43977302700006	134.91499531600005
Stone Entrance Gate, Bouas-Danilia Village, Corfu, Greece	39.61860000000007	19.907710000000066
Willemdok, Antwerp, Belgium	51.22209000000004	4.397680000000037
522 Indian St, Savannah, Georgia, USA	32.08318135916658	-81.09712593753258
Rupertiwinkel, Bavaria, Germany	47.91180996335631	12.81705998889153
Allwetterzoo Mnster, Mnster, North Rhine-Westphalia, Germany	51.94928994604503	7.58695994892958
Crestview Minimax IGA, 7108 Woodrow Ave., Austin, Texas, USA	30.34303003664375	-97.72549007328742
Bernalillo, New Mexico, USA	35.304610000000025	-106.54909999999995
lholm Slot, Lolland, Denmark	54.83308000000005	11.136360000000025
Ringgold, Louisiana, USA	32.32904000000008	-93.28020999999995
Phayao, Thailand	19.191485743844282	99.87974400223311
Giant Penny Building - 3rd Street & Broadway, Downtown, Los Angeles, California, USA	34.03707144100209	-118.26117639414404
Stone, Kent, England, UK	51.44311000000005	0.24518000000006168
N 11, County Wicklow, Ireland	53.11503520955311	-6.104396411380136
Whiteman Park, Whiteman, Western Australia, Australia	-31.835579999999936	115.9479500000001
Oscar Friere Market, Rua Oscar Freire St, So Paulo, So Paulo, Brazil	-0.3666699999999423	-52.14999999999998
Baku Seaside Boulevard, Sabail, Baku, Azerbaijan	40.332550000000026	49.81531000000007
Hitzacker, Lower Saxony, Germany	53.15163000000007	11.047020000000032
Cultureel Centrum De Werf, Aalst, Belgium	50.93919995614296	4.041970069392377
Ostankino Television Technical Center, Moscow, Russia	55.83168000000006	37.591210000000046
Adelphi Hotel - 3-5 Hunslet Road, Leeds, West Yorkshire, England, UK	53.79011333061076	-1.5379491693892318
Bagni Ausonia, Castiglioncello, Livorno, Tuscany, Italy	43.40435000000008	10.41972000000004
Village Cholobargi, Georgia	42.08527000000004	42.126270000000034
Northwestern Station - Madison & Canal Sts., Near West Side, Chicago, Illinois, USA	41.86911176069524	-87.6392748238499
Parkland Hospital, 5201 Harry Hines Blvd, Dallas, Texas, USA	32.812389984419475	-96.83523005121371
Orangerie Lbbenau, Lbbenau, Brandenburg, Germany	51.86217000000005	13.951680000000067
Washington Evening Star Building, 225 Virginia Avenue Southeast, Washington, District of Columbia, USA	38.880271973747696	-77.00232936691613
Sestriere, Turin, Piedmont, Italy	44.956650000000025	6.879610000000071
Cordova, Spain	37.87068000000005	-4.7785899999999515
Stublina, Aleksinac, Serbia	43.47945000000004	21.69903000000005
Wolverton Railway Works, Buckinghamshire, England, UK	52.05577000000005	-0.8117299999999545
Briksdalen, Jostedalsbreen National Park, Norway	61.68333000000007	6.983330000000024
Arlegui, Quiapo, Manila, Metro Manila, Philippines	14.597113500000003	120.98553075
Reillanne, Alpes-de-Haute-Provence, France	43.87957000000006	5.660470000000032
Ocean Grove, Victoria, Australia	-38.26828999999998	144.52173000000005
Estdio Palestra Itlia, So Paulo, Brazil	-23.52735000115377	-46.678550059004
Varallo, Vercelli, Piedmont, Italy	45.81627000000003	8.24813000000006
