location	lat	long
Mercado Pblico, Centro, Porto Alegre, Rio Grande do Sul, Brazil	-30.044530029430323	-51.224190051070416
Democratic Republic of Georgia	32.648324554000055	-83.44453440099994
East Dyke Depot - 332 E. Dyke Street, Wellsville, New York, USA	42.12133996335634	-77.92981994503438
Eagle Pass, Texas, USA	28.70924000000008	-100.49954999999994
North Center, Chicago, Illinois, USA	41.95411000000007	-87.68141999999995
San'a, Yemen	15.354720000000043	44.20667000000003
Charoen Krung Road, Pom Prap Sattru Phai, Bangkok, Thailand	13.74756831280456	100.50883767626595
Time Warner Center, Columbus Circle, Manhattan, New York City, New York, USA	40.76762000000008	-73.98185999999998
Bristol Cathedral, College Green, Bristol, England, UK	51.4518699411393	-2.6010699588841635
Costa Risa	46.26667000000003	2.0166700000000333
Soca, Slovenia	46.34187000000003	13.66638000000006
Public Bar & Grill, Middletown, Connecticut, USA	41.56266000000005	-72.64983999999998
Russell Square, Brighton, East Sussex, England, UK	50.82303529217921	-0.14850476543279084
6 rue Le Goff, Paris 5, Paris, France	48.84664477990651	2.341541163887153
The Electric Factory, Philiadelphia PA, USA	40.01397902620822	-75.09217724596915
Panten de Xoco, Mexico City, Distrito Federal, Mexico	19.385135521356776	-99.14976375110847
Szentgl, Hungary	47.11151000000007	17.734510000000057
Sllnitz, Thuringia, Germany	50.87566000000004	11.429320000000075
Fej, Denmark	55.959300779000046	10.053934054000024
Colonia Condesa, Mexico City, Distrito Federal, Mexico	19.378548000000002	-99.010548
Iittala, Hmeenlinna, Finland	61.09492000000006	24.160540000000026
Karaiskakis Stadium, Athens, Greece	38.03692997446484	23.72685007660572
Kristal Building, Vinnytsia, Ukraine	49.23356000000007	28.44861000000003
Olofstrm, Blekinge ln, Sweden	56.27786000000003	14.52938000000006
Maresches, Nord, France	50.293390000000045	3.5752900000000523
Al Rajhi Hospital, Dhaka, Bangladesh	23.631918023195784	89.54999501211338
Saladin Citadel, Cairo, Egypt	30.028850000000034	31.260330000000067
Leeming Airfield, North Yorkskire, England, UK	54.29238000000004	-1.5353999999999246
A Tasca do Chico, Rua do Diario de Noticias, 39, Lisbon, Portugal	38.711580069392355	-9.144130051070414
Rio das Ostras, Rio de Janeiro, Brazil	-22.527529999999956	-41.94201999999996
Font Magica de Montjuc, Palau Nacional, Parc de Montjuc, Sants-Montjuc, Barcelona, Catalonia, Spain	41.37172000000004	2.1515600000000745
Whitewater Draw Wildlife Area, Arizona, USA	31.554560000000038	-109.70691999999997
Lawford Heath Park, Warwickshire, England, UK	52.36240855741503	-1.3257174949377162
Bank of America Stadium - 800 S. Mint Street, Charlotte, North Carolina, USA	35.22434006996927	-80.85209999552792
Korova Studios, Los Angeles, California, USA	34.140310000000056	-118.37665999999996
Moor Street Station, Birmingham, West Midlands, England, UK	52.47840000000008	-1.8922299999999268
Laxay Boathouse, Laxay, Isle of Lewis, Scotland, UK	58.104760000000056	-6.524879999999939
