location	lat	long
Frigoscandia A/S, Islands Brygge 50, Islands Brygge, Copenhagen, Denmark	55.66939000000008	12.579690000000028
Tepatitlan, Jalisco, Mexico	20.81692000000004	-102.76346999999998
Hatton, North Dakota, USA	47.638630000000035	-97.45733999999999
Michelago, New South Wales, Australia	-35.70956999999993	149.15862000000004
Golwick Park, Nottingham, Nottinghamshire, England, UK	52.95476000000008	-1.095139999999958
King George's Hall, Blackburn, Lancashire, England, UK	53.74882000000008	-2.4858299999999645
Orchha, Madhya Pradesh, India	25.35275000000007	78.63930000000005
Center St, Piru, California, USA	34.415369999999996	-118.79078028373264
Qianmen Gate, Beijing, China	39.892900000000054	116.40607000000011
Tolvajrvi, Finland	64.52251280100006	26.158834376000073
Mustjala, Saaremaa, Estonia	58.462510000000066	22.233730000000037
On board the training ship corvette Sagres, Tagus, Lisbon, Portugal	38.725700000000074	-9.150249999999971
Silver Dollar Room - 486 Spadina Avenue, Toronto, Ontario, Canada	43.658419956142964	-79.40037001168535
Cologne, Westphalia, Germany	50.941670000000045	6.955160000000035
Zone Nightclub - 330-336 Neasden Lane, Neasden, London, England, UK	51.55908000000005	-0.24956999999994878
Brandalsund, Stockholms ln, Sweden	59.10000000000008	17.68333000000007
John Jacob Astor Elementary School - 3550 Franklin Avenue, Astoria, Oregon, USA	46.191450077759555	-123.8036899233943
Konditori Santa F, Krrtorp, Stockholm, Stockholms ln, Sweden	59.32911006939234	18.042450018321905
Amos, Qubec, Canada	48.563770000000034	-78.10648999999995
Boston and New England, USA	42.289939648953926	-71.07813695628876
Castelfiorentino, Florence, Tuscany, Italy	43.60430000000008	10.969360000000052
Ciudad Rodrgo, Salamanca, Castilla y Len, Spain	40.58840234222067	-6.605012552014928
Kitsilano Beach, Vancouver, British Columbia, Canada	49.27261000000004	-123.15558999999996
LMU, Mnchen, Germany	48.13641000000007	11.577540000000056
Mysinge, Kalmar ln, Sweden	56.51947000000007	16.43978000000004
Milpitas, California, USA	37.432830000000024	-121.89712999999995
Indian Wells, California, USA	33.72312000000005	-116.33880999999997
9263 Sierra Hwy, Actis, California, USA	34.95776508464305	-118.14890311282136
Borgercompagnie, Groningen, Netherlands	53.10856000000007	6.827320000000043
Bauernhof Meyer, Borstel, Niedersachsen	53.20457998052433	8.88540996480048
Fairway, Denham, Buckinghamshire, England, UK	51.87660000000005	-0.9050199999999791
Treumann-Larsen-Atelier, Lankwitz, Berlin, Germany	52.438950000000034	13.353400000000022
Walpole, New Hampshire, USA	43.08021000000008	-72.42799999999994
Bossier Parish Courthouse, Benton, Louisiana, USA	32.69737001832191	-93.74010004775218
Sokolovici, Bosnia-Herzegovina	43.94032000000004	18.940240000000074
Novogorsk Sports Center, Moscow, Russia	55.904390000000035	37.36071000000004
Acer Arena, Olympic Boulevard, Sydney Olympic Park, Sydney, New South Wales, Australia	-33.846859999999936	151.06589000000008
Vzelay Abbey, Vzelay, Yonne, France	47.463220000000035	3.74192000000005
UCI Cinema, Campi Bisenzio, Italy	43.82620000000003	11.142810000000054
Mont Valrien, Saint-Cloud, Hauts-de-Seine, France	48.859366500000014	2.213831249999993
Khiran Resort, Kuwait	28.660910000000058	48.38626000000005
Monroe, Wisconsin, USA	42.60302000000007	-89.64505999999994
Studio Bendestorf, Lower Saxony, Germany	53.341270000000065	9.968230000000062
Butlins Holiday Camp, Lagg, Ayrshire, Scotland, UK	55.42268000000007	-4.7162799999999265
1001-hallen, Islands Brygge, Copenhagen, Denmark	55.66605582491858	12.575740606700137
Rock, Cornwall, England, UK	50.55040000000008	-4.90190999999993
Chorlton-cum-Hardy, Greater Manchester, England, UK	53.44251000000003	-2.276559999999961
Sens, Yonne, France	48.198930000000075	3.28263000000004
Det Hvide Hus, 48 Dalgas Boulevard, Frederiksberg, Denmark	55.67646873466444	12.508032465750876
Gregory, Michigan, USA	42.45987000000008	-84.08433999999994
Vsters, Vstmanlands ln, Sweden	59.76564037800006	16.15475924900005
Capitolio, Havana, Cuba	23.13539000000003	-82.36014999999998
Old Hyderabad, Andhra Pradesh, India	17.250000000000057	78.50000000000006
Kowie River, Eastern Cape, South Africa	-33.60373999999996	26.902680000000032
